scheme_code,scheme_name,isin_growth,isin_reinvest,last_updated
123693,Kotak Banking and PSU Debt Direct - Growth,,,2026-01-02 00:14:01.628364
144647,DSP Corporate Bond Fund - Direct - IDCW,,,2026-01-02 00:14:01.628364
119798,SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH,,,2026-01-02 00:14:01.628364
Scheme Code,Scheme Name,,,2026-01-02 00:14:01.628364
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,,,2026-01-02 00:14:01.628364
119101,DSP Gilt Fund - Direct Plan - IDCW,,,2026-01-02 00:14:01.628364
138471,PGIM India Gilt Fund - Bonus,,,2026-01-02 00:14:01.628364
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,,,2026-01-02 00:14:01.628364
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,,,2026-01-02 00:14:01.628364
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,,,2026-01-02 00:14:01.628364
121280,Bandhan Banking and PSU Fund - Regular Growth,,,2026-01-02 00:14:01.628364
121282,Bandhan Banking and PSU Fund - Regular IDCW,,,2026-01-02 00:14:01.628364
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,,,2026-01-02 00:14:01.628364
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,,,2026-01-02 00:14:01.628364
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,,,2026-01-02 00:14:01.628364
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,,,2026-01-02 00:14:01.628364
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,,,2026-01-02 00:14:01.628364
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),,,2026-01-02 00:14:01.628364
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,,,2026-01-02 00:14:01.628364
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,,,2026-01-02 00:14:01.628364
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,,,2026-01-02 00:14:01.628364
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,,,2026-01-02 00:14:01.628364
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,,,2026-01-02 00:14:01.628364
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,,,2026-01-02 00:14:01.628364
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,,,2026-01-02 00:14:01.628364
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,,,2026-01-02 00:14:01.628364
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,,,2026-01-02 00:14:01.628364
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,,,2026-01-02 00:14:01.628364
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,,,2026-01-02 00:14:01.628364
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,,,2026-01-02 00:14:01.628364
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,,,2026-01-02 00:14:01.628364
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,,,2026-01-02 00:14:01.628364
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,,,2026-01-02 00:14:01.628364
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,,,2026-01-02 00:14:01.628364
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,,,2026-01-02 00:14:01.628364
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,,,2026-01-02 00:14:01.628364
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,,,2026-01-02 00:14:01.628364
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,,,2026-01-02 00:14:01.628364
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,,,2026-01-02 00:14:01.628364
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,,,2026-01-02 00:14:01.628364
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,,,2026-01-02 00:14:01.628364
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,,,2026-01-02 00:14:01.628364
129007,Franklin India Banking and PSU Debt Fund - IDCW ,,,2026-01-02 00:14:01.628364
128628,HDFC Banking and PSU Debt Fund - Growth Option,,,2026-01-02 00:14:01.628364
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,,,2026-01-02 00:14:01.628364
128627,HDFC Banking and PSU Debt Fund - IDCW Option,,,2026-01-02 00:14:01.628364
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,,,2026-01-02 00:14:01.628364
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,,,2026-01-02 00:14:01.628364
151107,HSBC Banking and PSU Debt Fund - Direct Growth,,,2026-01-02 00:14:01.628364
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,,,2026-01-02 00:14:01.628364
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,,,2026-01-02 00:14:01.628364
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,,,2026-01-02 00:14:01.628364
151104,HSBC Banking and PSU Debt Fund - Regular Growth,,,2026-01-02 00:14:01.628364
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,,,2026-01-02 00:14:01.628364
153940,Groww Nifty Midcap 150 ETF,,,2026-01-02 00:14:01.628364
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,,,2026-01-02 00:14:01.628364
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,,,2026-01-02 00:14:01.628364
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,,,2026-01-02 00:14:01.628364
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,,,2026-01-02 00:14:01.628364
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,,,2026-01-02 00:14:01.628364
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,,,2026-01-02 00:14:01.628364
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,,,2026-01-02 00:14:01.628364
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,,,2026-01-02 00:14:01.628364
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,,,2026-01-02 00:14:01.628364
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,,,2026-01-02 00:14:01.628364
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,,,2026-01-02 00:14:01.628364
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,,,2026-01-02 00:14:01.628364
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,,,2026-01-02 00:14:01.628364
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,,,2026-01-02 00:14:01.628364
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,,,2026-01-02 00:14:01.628364
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,,,2026-01-02 00:14:01.628364
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,,,2026-01-02 00:14:01.628364
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),,,2026-01-02 00:14:01.628364
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),,,2026-01-02 00:14:01.628364
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),,,2026-01-02 00:14:01.628364
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,,,2026-01-02 00:14:01.628364
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),,,2026-01-02 00:14:01.628364
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,,,2026-01-02 00:14:01.628364
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,,,2026-01-02 00:14:01.628364
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,,,2026-01-02 00:14:01.628364
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,,,2026-01-02 00:14:01.628364
123690,Kotak Banking and PSU Debt - Growth,,,2026-01-02 00:14:01.628364
139344,Baroda BNP Paribas Liquid Fund - Plan C,,,2026-01-02 00:14:01.628364
104485,Invesco India Liquid Fund - Weekly IDCW (Reinvestment),,,2026-01-02 00:14:01.628364
